observed_at,ticker,close_time,minutes_remaining,strike,btc,yes_bid,yes_bid_size,yes_ask,yes_ask_size,yes_depth_5c,no_depth_5c,yes_depth_10c,no_depth_10c,yes_total,no_total,imbalance_touch,imbalance_5c,weighted_mid,mid,spread,n_yes_levels,n_no_levels,volume,open_interest,outcome
2026-09-03T00:00:41.882865+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,14.3,77329.68,77304.81,0.38,5.42,0.39,8168.29,8678.44,15024.09,13803.36,22137.46,68410.08,50248.75,-0.9986737968437833,-0.26772036571623364,0.38000663101578114,0.385,0.010000000000000009,30,30,36084.35,26668.84,
2026-09-03T00:01:02.074277+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,13.97,77329.68,77295.9,0.4,3666.12,0.41000000000000003,7679.33,13747.0,18568.91,21391.0,24376.09,62283.93,56226.5,-0.3537285872310045,-0.14921164219110647,0.40323135706384494,0.405,0.010000000000000009,30,30,131658.33,88974.20,
2026-09-03T00:01:22.349948+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,13.63,77329.68,77307.31,0.44,4804.61,0.44999999999999996,2993.26,16004.57,12122.039999999999,23760.579999999998,18535.37,54623.909999999996,53409.32,0.2322877914097054,0.1380376092248586,0.4461614389570485,0.44499999999999995,0.009999999999999953,30,30,131658.33,88974.20,
2026-09-03T00:01:42.574006+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,13.29,77329.68,77308.83,0.44,4577.29,0.44999999999999996,4314.93,15877.7,13688.59,22934.22,19231.73,57026.96,54007.06,0.02950444320990705,0.07404074031608296,0.4451475222160495,0.44499999999999995,0.009999999999999953,30,30,262338.47,155801.45,
2026-09-03T00:02:02.813157+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,12.96,77329.68,77345.76,0.45,3050.63,0.45999999999999996,3925.96,13103.64,11288.09,18560.75,18018.09,49416.19,54736.4,-0.1254667394816092,0.07443301479640843,0.454372666302592,0.45499999999999996,0.009999999999999953,30,30,262338.47,155801.45,
2026-09-03T00:02:23.078627+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,12.62,77329.68,77341.28,0.58,4524.46,0.5900000000000001,4610.91,16284.06,17652.38,25906.06,27823.420000000002,52203.31,78394.05,-0.009463218238560653,-0.04032008071559661,0.5849526839088073,0.585,0.01000000000000012,30,30,380844.44,184948.47,
2026-09-03T00:02:43.344366+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,12.28,77329.68,77341.27,0.56,4781.26,0.5700000000000001,3321.42,11925.94,15476.43,19598.81,21732.96,52762.31,63967.18,0.18016754950214003,-0.1295687197859163,0.5659008377475108,0.5650000000000001,0.010000000000000009,30,30,495974.27,212601.08,
2026-09-03T00:03:03.650054+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,11.94,77329.68,77355.26,0.61,2258.97,0.62,4760.7,13120.449999999999,15972.3,20060.44,24789.489999999998,49721.74,80478.02,-0.3563885481796153,-0.09802614053329439,0.6132180572591018,0.615,0.010000000000000009,30,30,495974.27,212601.08,
2026-09-03T00:03:23.966726+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,11.6,77329.68,77334.02,0.53,5212.99,0.54,4794.21,11704.289999999999,12939.36,24505.739999999998,19459.46,53532.04,57304.18,0.04184786953393554,-0.05011717014322154,0.5352092393476697,0.535,0.010000000000000009,30,30,571435.78,230571.73,
2026-09-03T00:03:44.263199+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,11.26,77329.68,77329.23,0.52,2047.63,0.53,4095.17,11189.09,16395.02,23134.27,21380.11,53105.87,56712.85,-0.33332356580061206,-0.18872930828654613,0.523333382170997,0.525,0.010000000000000009,30,30,610072.77,245174.00,
2026-09-03T00:04:04.458121+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,10.93,77329.68,77333.77,0.56,5503.96,0.5700000000000001,4076.53,10711.62,12268.62,17563.09,21165.67,48458.22,57706.32,0.14899342309213828,-0.06775386157846915,0.5657449671154609,0.5650000000000001,0.010000000000000009,30,30,610072.77,245174.00,
2026-09-03T00:04:24.710481+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,10.59,77329.68,77354.01,0.64,4283.66,0.65,4722.42,12903.15,14167.36,21906.59,26036.18,51481.15,76399.74,-0.04871819926094374,-0.04670063474977017,0.6447564090036954,0.645,0.010000000000000009,30,30,656685.14,259890.87,
2026-09-03T00:04:44.901558+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,10.25,77329.68,77330.0,0.47,3113.86,0.48,2417.63,13985.890000000001,10396.73,21603.78,15543.75,47737.03,43783.24,0.1258666290637785,0.14720157226745942,0.4756293331453189,0.475,0.010000000000000009,30,30,656685.14,259890.87,
2026-09-03T00:05:05.094534+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,9.92,77329.68,77326.57,0.54,3858.07,0.55,2628.1,10461.99,12150.59,17527.78,16723.85,45137.47,50491.43,0.1896296273455676,-0.0746752471411931,0.5459481481367279,0.545,0.010000000000000009,30,30,739223.11,263744.20,
2026-09-03T00:05:25.478751+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,9.58,77329.68,77337.78,0.55,2518.62,0.56,1696.17,10434.119999999999,12574.74,17192.37,18284.9,45335.97,53251.04,0.19513427715259832,-0.09303459623814482,0.5559756713857631,0.555,0.010000000000000009,30,30,739223.11,263744.20,
2026-09-03T00:05:45.736680+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,9.24,77329.68,77342.2,0.6,8153.21,0.61,20.27,16200.33,9737.68,25145.510000000002,17415.87,49670.8,59029.56,0.9950400563774547,0.24915751054147944,0.6099752002818872,0.605,0.010000000000000009,30,30,792787.20,274842.40,
2026-09-03T00:06:06.075281+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,8.9,77329.68,77321.18,0.45,5259.49,0.45999999999999996,3364.34,18310.51,13661.54,23129.8,21926.44,51301.52,48120.87,0.21975734679370995,0.14540731670318285,0.4560987867339686,0.45499999999999996,0.009999999999999953,30,30,792787.20,274842.40,
2026-09-03T00:06:26.290750+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,8.56,77329.68,77300.54,0.31,7032.02,0.31999999999999995,784.02,12982.36,6041.98,20300.57,12980.28,49150.52,34055.54,0.7993817841259767,0.3648158096417537,0.3189969089206298,0.31499999999999995,0.009999999999999953,30,30,867034.97,298283.51,
2026-09-03T00:06:46.607854+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,8.23,77329.68,77279.91,0.26,2540.87,0.27,3847.61,13716.24,16111.31,23345.74,22527.32,50835.36,42622.36,-0.20454630835503912,-0.08029724197931107,0.26397726845822483,0.265,0.010000000000000009,30,30,950053.96,310571.38,
2026-09-03T00:07:06.828947+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,7.89,77329.68,77265.87,0.24,5919.29,0.25,0.02,18250.83,5807.2300000000005,26945.58,12941.24,51306.07,34345.56,0.9999932424556239,0.5172320627681535,0.2499999662122781,0.245,0.010000000000000009,30,30,950053.96,310571.38,
2026-09-03T00:07:27.088267+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,7.55,77329.68,77256.67,0.17,6050.74,0.18000000000000005,2874.52,16493.66,13475.9,45641.46,22047.73,48662.46,45317.33,0.3558686245554751,0.10069417101886048,0.1767793431227774,0.17500000000000004,0.010000000000000037,30,30,1098945.04,324247.05,
2026-09-03T00:07:47.333961+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,7.21,77329.68,77233.84,0.12,5407.82,0.13,4472.02,32787.95,14213.76,36903.04,24461.47,36903.04,46532.94,0.09471813308717543,0.3951811540473739,0.1254735906654359,0.125,0.010000000000000009,30,30,1098945.04,324247.05,
2026-09-03T00:08:07.559050+00:00,KXBTC15M-26SEP022015-15,2026-09-03T00:15:00Z,6.88,77329.68,77225.01,0.094,1871.72,0.09499999999999997,1550.89,31548.95,15460.49,31548.95,24314.88,31548.95,44484.65,0.09373840431717313,0.34223892052319704,0.09454686920215856,0.09449999999999999,0.0009999999999999731,30,30,1231286.10,330524.67,
