observed_at,ticker,close_time,minutes_remaining,strike,btc,yes_bid,yes_bid_size,yes_ask,yes_ask_size,yes_depth_5c,no_depth_5c,yes_depth_10c,no_depth_10c,yes_total,no_total,imbalance_touch,imbalance_5c,weighted_mid,mid,spread,n_yes_levels,n_no_levels,volume,open_interest,outcome
2026-09-17T00:00:29.112094+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,14.52,76143.54,76134.85,0.49,6409.14,0.5,144.25,14354.220000000001,5109.76,24914.65,12672.28,64898.8,53448.35,0.9559769829050309,0.4749521937445476,0.49977988491452513,0.495,0.010000000000000009,30,30,9335.84,7419.60,
2026-09-17T00:00:49.251033+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,14.18,76143.54,76167.19,0.56,513.1,0.5700000000000001,6699.94,8317.33,16891.04,14424.8,30150.3,50427.14,71183.72,-0.8577298892006698,-0.3401136209917579,0.5607113505539967,0.5650000000000001,0.010000000000000009,30,30,107136.98,65339.97,
2026-09-17T00:01:09.379157+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,13.84,76143.54,76167.18,0.57,5701.39,0.5800000000000001,1270.38,14153.48,9705.71,20597.07,21383.19,54974.590000000004,65433.35,0.6355645696860338,0.1864174768715954,0.5781778228484302,0.575,0.01000000000000012,30,30,107136.98,65339.97,
2026-09-17T00:01:29.513760+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,13.51,76143.54,76175.01,0.59,6101.99,0.6,4650.5,13924.33,16944.22,24839.7,26070.07,57793.0,80637.62,0.1349910578851968,-0.09783063992315806,0.5956749552894259,0.595,0.010000000000000009,30,30,156297.57,93488.80,
2026-09-17T00:01:49.832589+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,13.17,76143.54,76184.99,0.62,4681.27,0.63,3756.71,15038.130000000001,15184.67,21733.38,24356.63,55654.32,75481.49,0.10957124809492325,-0.004848657305080901,0.6255478562404747,0.625,0.010000000000000009,30,30,156297.57,93488.80,
2026-09-17T00:02:10.006689+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,12.83,76143.54,76174.52,0.56,159.01,0.5700000000000001,5424.4,5157.62,14076.949999999999,15887.34,23157.1,49647.96,59714.77,-0.943041976140029,-0.4637135116615551,0.5602847901192999,0.5650000000000001,0.010000000000000009,30,30,248417.50,143688.40,
2026-09-17T00:02:30.156947+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,12.5,76143.54,76169.6,0.57,5460.44,0.5800000000000001,3787.83,13990.56,14079.06,25202.43,23669.09,54491.73,65761.5,0.18085652776140831,-0.0031528748875118365,0.575904282638807,0.575,0.01000000000000012,30,30,248417.50,143688.40,
2026-09-17T00:02:50.303766+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,12.16,76143.54,76183.15,0.61,2002.03,0.62,5521.31,9852.27,14634.36,19021.66,26665.8,48435.88,75138.58,-0.46778159700345867,-0.19529392162171766,0.6126610920149828,0.615,0.010000000000000009,30,30,316648.43,185467.66,
2026-09-17T00:03:10.529275+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,11.83,76143.54,76199.78,0.66,5899.48,0.6699999999999999,3.05,13334.58,10288.4,24513.54,18655.420000000002,50295.29,62711.56,0.9989665448544945,0.12894986153313429,0.6699948327242724,0.665,0.009999999999999898,30,30,376601.71,214654.16,
2026-09-17T00:03:30.677051+00:00,KXBTC15M-26SEP162015-15,2026-09-17T00:15:00Z,11.49,76143.54,76177.58,0.6,4097.02,0.61,0.02,12580.35,4770.2,20233.53,13098.43,46492.92,61964.77,0.9999902368539236,0.4501384682329955,0.6099999511842695,0.605,0.010000000000000009,30,30,376601.71,214654.16,
