observed_at,ticker,close_time,minutes_remaining,strike,btc,yes_bid,yes_bid_size,yes_ask,yes_ask_size,yes_depth_5c,no_depth_5c,yes_depth_10c,no_depth_10c,yes_total,no_total,imbalance_touch,imbalance_5c,weighted_mid,mid,spread,n_yes_levels,n_no_levels,volume,open_interest,outcome
2026-08-25T04:34:47.303268+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,10.21,80258.47,80255.16,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,574815.55,212385.15,
2026-08-25T04:35:07.562425+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,9.88,80258.47,80286.92,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,574815.55,212385.15,
2026-08-25T04:35:27.798255+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,9.54,80258.47,80296.44,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,615366.76,219290.12,
2026-08-25T04:35:48.106982+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,9.2,80258.47,80315.45,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,670559.20,242746.93,
2026-08-25T04:36:08.314854+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,8.86,80258.47,80362.92,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,670559.20,242746.93,
2026-08-25T04:36:28.570674+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,8.53,80258.47,80325.01,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,763649.03,258529.00,
2026-08-25T04:36:48.837472+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,8.19,80258.47,80327.93,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,809136.50,276449.66,
2026-08-25T04:37:09.057703+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,7.85,80258.47,80305.97,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,809136.50,276449.66,
2026-08-25T04:37:29.331789+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,7.51,80258.47,80302.56,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,854384.29,291714.59,
2026-08-25T04:37:49.551785+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,7.18,80258.47,80300.73,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,854384.29,291714.59,
2026-08-25T04:38:09.742826+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,6.84,80258.47,80326.24,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,888435.19,300232.55,
2026-08-25T04:38:29.965779+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,6.5,80258.47,80348.7,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,888435.19,300232.55,
2026-08-25T04:38:50.266139+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,6.16,80258.47,80347.7,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,921568.78,306953.94,
2026-08-25T04:39:10.543805+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,5.83,80258.47,80358.32,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,995149.18,325883.25,
2026-08-25T04:39:30.841522+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,5.49,80258.47,80289.06,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,995149.18,325883.25,
2026-08-25T04:39:51.167578+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,5.15,80258.47,80310.73,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1036704.30,330582.91,
2026-08-25T04:40:11.493235+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,4.81,80258.47,80283.23,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1078473.70,338188.53,
2026-08-25T04:40:31.705147+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,4.47,80258.47,80281.25,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1078473.70,338188.53,
2026-08-25T04:40:52.008149+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,4.14,80258.47,80315.46,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1138994.75,331163.98,
2026-08-25T04:41:12.260542+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,3.8,80258.47,80286.93,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1138994.75,331163.98,
2026-08-25T04:41:32.488828+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,3.46,80258.47,80216.89,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1180793.62,345242.97,
2026-08-25T04:41:52.727904+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,3.12,80258.47,80234.56,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1371592.40,256618.48,
2026-08-25T04:42:12.938588+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,2.79,80258.47,80244.08,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1371592.40,256618.48,
2026-08-25T04:42:33.155652+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,2.45,80258.47,80215.54,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1457441.90,272401.59,
2026-08-25T04:42:53.507619+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,2.11,80258.47,80197.61,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1568243.37,271977.59,
2026-08-25T04:43:13.819666+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,1.77,80258.47,80191.73,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1568243.37,271977.59,
2026-08-25T04:43:34.041901+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,1.43,80258.47,80207.41,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1733411.93,304691.42,
2026-08-25T04:43:54.341891+00:00,KXBTC15M-26AUG250045-45,2026-08-25T04:45:00Z,1.1,80258.47,80208.83,,0.0,,0.0,0,0,0,0,0,0,,,,,,0,0,1733411.93,304691.42,
