observed_at,ticker,close_time,minutes_remaining,strike,btc,yes_bid,yes_bid_size,yes_ask,yes_ask_size,yes_depth_5c,no_depth_5c,yes_depth_10c,no_depth_10c,yes_total,no_total,imbalance_touch,imbalance_5c,weighted_mid,mid,spread,n_yes_levels,n_no_levels,volume,open_interest,outcome
2026-09-08T00:00:40.511507+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,14.33,,79087.69,0.48,3921.2,0.49,1968.93,12166.869999999999,13251.6,18977.68,17733.59,54442.65,48964.13,0.3314476930050779,-0.042674873822067236,0.4866572384650254,0.485,0.010000000000000009,30,30,38214.92,21580.79,
2026-09-08T00:01:00.872499+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,13.99,79107.66,79092.66,0.46,4903.59,0.47,4376.82,9604.65,12831.75,15432.88,18695.559999999998,52689.26,48103.37,0.056761500838863846,-0.1438332352783869,0.4652838075041943,0.46499999999999997,0.009999999999999953,30,30,94100.89,47835.58,
2026-09-08T00:01:21.108155+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,13.65,79107.66,79087.92,0.45,1080.03,0.45999999999999996,6466.89,12277.99,15218.150000000001,16693.329999999998,22451.31,61728.26,50940.62,-0.7137825762032723,-0.1069299181630586,0.4514310871189836,0.45499999999999996,0.009999999999999953,30,30,94100.89,47835.58,
2026-09-08T00:01:41.240074+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,13.31,79107.66,79074.82,0.38,4812.33,0.39,2925.02,14993.86,11395.69,27256.38,17590.52,90335.58,42072.88,0.24392201464325639,0.13634828937969765,0.38621961007321626,0.385,0.010000000000000009,30,30,163433.02,76359.64,
2026-09-08T00:02:01.414109+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,12.98,79107.66,79061.12,0.34,4410.66,0.35,4203.96,13047.47,10451.38,22875.79,18027.489999999998,83996.71,39997.61,0.023994093761535603,0.11047732123061342,0.3451199704688077,0.345,0.009999999999999953,30,30,231221.55,101943.75,
2026-09-08T00:02:21.543545+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,12.64,79107.66,79066.99,0.34,2942.62,0.35,3847.0,12859.98,12192.58,23193.38,29533.33,85224.43,52460.02,-0.13320038529402237,0.02663999208064963,0.3443339980735299,0.345,0.009999999999999953,30,30,231221.55,101943.75,
2026-09-08T00:02:41.743289+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,12.31,79107.66,79066.99,0.32,1114.02,0.32999999999999996,5981.46,9581.98,15967.49,17406.45,31867.1,77673.64,55956.69,-0.6859916453855132,-0.24992729790480978,0.32157004177307247,0.32499999999999996,0.009999999999999953,30,30,231221.55,101943.75,
2026-09-08T00:03:01.934436+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,11.97,79107.66,79052.73,0.25,4881.58,0.26,5130.23,15524.54,13601.52,37448.06,20033.42,94341.6,50383.11,-0.0248356690748226,0.06602403483341036,0.25487582165462586,0.255,0.010000000000000009,30,30,282008.85,129520.02,
2026-09-08T00:03:22.070776+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,11.63,79107.66,79017.13,0.18,6379.48,0.18999999999999995,2093.03,23109.85,10653.73,78051.27,17060.73,80055.27,50004.64,0.5059244545004962,0.3689217790293564,0.18752962227250244,0.18499999999999997,0.009999999999999953,30,30,366099.90,162115.02,
2026-09-08T00:03:42.190635+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,11.3,79107.66,79060.79,0.36,3489.69,0.37,5220.53,12706.32,21908.51,18920.0,29072.61,80201.73,51458.52,-0.1987136949468555,-0.26584530387697985,0.3640064315252658,0.365,0.010000000000000009,30,30,366099.90,162115.02,
2026-09-08T00:04:02.381840+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,10.96,79107.66,79067.23,0.35,4083.69,0.36,5541.99,13759.93,22689.86,19996.69,30831.97,69654.43,56202.56,-0.1515009848654848,-0.24499263233066637,0.3542424950756725,0.355,0.010000000000000009,30,30,452188.26,196821.29,
2026-09-08T00:04:22.531737+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,10.63,79107.66,79050.66,0.27,2285.61,0.28,4473.3,11174.65,13847.470000000001,19359.52,21461.010000000002,87515.21,57271.26,-0.3236749712601588,-0.10681828717950363,0.27338162514369924,0.275,0.010000000000000009,30,30,538977.08,198368.99,
2026-09-08T00:04:42.734235+00:00,KXBTC15M-26SEP072015-15,2026-09-08T00:15:00Z,10.29,79107.66,79038.97,0.23,4509.18,0.24,4076.36,12067.89,10846.44,31593.91,17764.44,90249.11,45095.24,0.05041267060662464,0.05330507154256742,0.23525206335303311,0.235,0.009999999999999981,30,30,538977.08,198368.99,
